Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Yaw,Pitch,Roll
0.0,0.1956130811732742,0.8601467038843892,2.4122206571911087,0.16680942511727403,-0.3104276593469489,0.5340264832082229,1.75701496190525,0.08678312015526023,-2.7210005349452207
0.002,0.19594670002350875,0.8595258485656952,2.4132887101575253,0.15675902305808537,-0.31441427536689776,0.4907641844157704,1.7564340892619013,0.08548083938648547,-2.7205912070278457
0.004,0.19626021806962493,0.8588970200149615,2.414270238526357,0.14581505268588046,-0.31871005361954347,0.4454467314490795,1.7553035395499796,0.08284188221593337,-2.7197640762058928
0.006,0.19655184817499669,0.8582595999077224,2.415161131989255,0.13439154528077243,-0.3230994215729098,0.39910104080087766,1.753556544679911,0.07885059977796037,-2.7185301043929404
0.008,0.19682063126555824,0.8576134010645765,2.4159593340708567,0.12241274082399509,-0.32755300185299474,0.3516085669186182,1.7511970130595615,0.07350064367642492,-2.7168756229320077
0.01,0.19706545674720624,0.8569582950608705,2.416662551204694,0.109978047538258,-0.3319708487969939,0.30326414008079905,1.7482172244199552,0.06679684367631608,-2.714777885304213
0.012,0.19728541284228276,0.8562943533632765,2.4172690794848557,0.0971200185123471,-0.3362768791047455,0.25420903645835746,1.7446106057212791,0.05874626232361389,-2.712216680036324
0.014,0.19747965287930747,0.855621799605067,2.4177774975577724,0.08387108666974777,-0.3403948453240374,0.2045852246087542,1.7403699527452416,0.049360059714751305,-2.709180884462432
0.016,0.19764739505264697,0.8549410099144189,2.4181866680069897,0.07022112799008713,-0.3442619561017932,0.15443804585511633,1.735486062935106,0.03865087537190059,-2.7056555622669833
0.018000000000000002,0.19778783730862715,0.8542524860022154,2.4184955440987,0.05620695775402356,-0.3478023535937585,0.10391765232123039,1.7299491400220035,0.02663653502568324,-2.701622999977542
0.020000000000000004,0.19790025122413518,0.8535568812950278,2.4187033794033423,0.04184570841025295,-0.35094857448959493,0.053127463757085505,1.7237433184219426,0.01332814078001899,-2.697063326237306
0.022000000000000006,0.1979839426409557,0.8528549841460487,2.4188096343308567,0.027150713416017005,-0.35363658554871935,0.002159897777740935,1.7168491285911969,-0.001263816877271763,-2.69195316239528
0.024000000000000007,0.19803824406778772,0.8521477109749512,2.418813954126412,0.0121114692399092,-0.35580864193741363,-0.04894557682995156,1.7092452585039224,-0.01712432700822441,-2.686257771442465
0.02600000000000001,0.19806246700626753,0.8514360936910764,2.418716062972752,-0.0032556070785557684,-0.3574047204890529,-0.10009417902045253,1.700907612437639,-0.03423370387420078,-2.6799307021125163
0.02800000000000001,0.1980559557921104,0.8507212842500983,2.4185158746147115,-0.01894463353048806,-0.35836962181802146,-0.15121523363488035,1.691807813241579,-0.052569436338410214,-2.6729113493863212
0.030000000000000013,0.19801806652504944,0.8500045450064623,2.4182134441474417,-0.034994989837251037,-0.3586521460759648,-0.20232797454828227,1.6819117802020944,-0.0721084726678551,-2.665131480395994
0.032000000000000015,0.19794807654537494,0.8492872407143104,2.417808788198345,-0.05141455929652815,-0.3581991862981523,-0.253385958193893,1.6711815433126946,-0.09282464473599367,-2.6565272797662343
0.034000000000000016,0.1978452474267819,0.8485708423417141,2.4173020162819574,-0.06822891181654363,-0.3569577604405174,-0.30437545946552924,1.659573627510695,-0.11468888708984616,-2.6470321211692593
0.03600000000000002,0.1977087896031488,0.847856926820833,2.416693265363026,-0.08539890835722083,-0.3548816186306716,-0.3551625137178401,1.6470406712600523,-0.13766474381845697,-2.6365765572711917
0.03800000000000002,0.19753799178643436,0.8471471635835717,2.4159829403355904,-0.10287976136786546,-0.3519336394906686,-0.40561048973710434,1.633522516088222,-0.16172219908827315,-2.6250940500316156
0.04000000000000002,0.19733223226369861,0.8464432963045904,2.415171719356116,-0.12060436968491209,-0.3480900314485861,-0.4555535548516547,1.6189512880044903,-0.18682417022655792,-2.6125096193653237
0.04200000000000002,0.19709102352432878,0.8457471162416932,2.4142606122464128,-0.1386509757294881,-0.3433001377869086,-0.5050792970967433,1.60324662227533,-0.21293482099733954,-2.5987570667718574
0.044000000000000025,0.1968137215728698,0.8450605159661194,2.4132504536522195,-0.15707969632088978,-0.33750874223219873,-0.5542362498619212,1.5863197153018151,-0.24000926751327206,-2.5837546106237963
0.04600000000000003,0.19649956218022802,0.844385498481655,2.412141981152496,-0.17589783187723562,-0.33067192278505775,-0.6029830688702146,1.568074578895089,-0.2679896578953336,-2.5673972527300934
0.04800000000000003,0.19614776651647353,0.8437241546360849,2.410936015014755,-0.19508917338029122,-0.3227553856528065,-0.6512426054046845,1.5484027089795076,-0.2968122183746019,-2.549567612919777
0.05000000000000003,0.19575758816971295,0.8430786438647793,2.409633529803946,-0.21468305903310628,-0.3137068290654239,-0.6990059269073773,1.527178442881154,-0.32640940939861024,-2.53013959669833
0.05200000000000003,0.19532822205164674,0.8424512302066485,2.408235517950131,-0.23465795390093666,-0.3034955672157109,-0.7461889085183254,1.5042555221026492,-0.3567102396397113,-2.508981991881386
0.054000000000000034,0.19485890614384485,0.8418442390722171,2.4067431401330945,-0.2551201422762265,-0.2920214199208235,-0.7928802747260995,1.4794691820980324,-0.38763137113257506,-2.4859372769561547
0.056000000000000036,0.1943486658592924,0.8412601962323755,2.4051573795836423,-0.27621166602633723,-0.2791451556367162,-0.8391947431572997,1.4526419512154722,-0.4190650272733677,-2.4608252930881935
0.05800000000000004,0.1937962425272397,0.840701905921102,2.403478990097328,-0.29815707800370206,-0.2646503360849041,-0.8853200761298787,1.4235853126992608,-0.45087482620106945,-2.4334385218610746
